Name	meiotic_1_quant	meiotic_2_quant	veg_cells_1_quant	veg_cells_2_quant
SPOM_SPCC550.13	0.0	0.0	0.0	27.1355
SPOM_SPCC550.10	0.0	0.0	178.297	16.5785
SPOM_SPCC550.06C	0.0	0.0	0.0	274.211
SPOM_SPCC550.05	1288.11	307.184	699.125	125.771
SPOM_SPCC4B3.01	0.0	0.0	0.0	0.0
SPOM_SPCC4B3.03C	0.0	0.0	0.0	82.3682
SPOM_SPCC4B3.04C	0.0	54.5965	0.0	11.5538
SPOM_SPCC4B3.05C	0.0	0.0	0.0	15.3986
SPOM_SPCC4B3.07	0.0	0.0	0.0	71.3528
SPOM_SPCC4B3.08	0.0	299.357	0.0	0.0
SPOM_SPCC4B3.13	0.0	97.6245	0.0	0.0
SPOM_SPCC4B3.14	0.0	0.0	0.0	66.7813
SPOM_SPCC4B3.20	0.0	0.0	0.0	6013.61
SPOM_SPCC1259.15C	157.749	1904.98	0.0	0.0
SPOM_SPCC1259.12C	118.386	156.624	0.0	0.0
SPOM_SPCC1259.11C	61.7429	58.8972	0.0	12.4639
SPOM_SPCC1259.08	91.3975	87.1851	0.0	92.2508
SPOM_SPCC1259.07	0.0	0.0	0.0	0.0
SPOM_SPCC1259.16	0.0	0.0	0.0	179.395
SPOM_SPCC1259.05C	239.416	0.0	0.0	193.321
SPOM_SPCC1259.04	0.0	0.0	0.0	196.227
SPOM_SPCC1259.01C	230.598	586.586	1001.26	1458.57
SPOM_SPCC825.05C	0.0	0.0	0.0	0.0
SPOM_SPCC895.09C	15.8319	0.0	0.0	12.7838
SPOM_SPCC895.08C	0.0	0.0	0.0	0.0
SPOM_SPCC895.07	0.0	0.0	0.0	0.0
SPOM_SPCC895.06	0.0	0.0	0.0	133.492
SPOM_SPCC895.05	16.6531	127.084	0.0	0.0
SPOM_SPCC895.04C	76.6777	292.574	0.0	52.4701
SPOM_SPCC1795.01C	173.668	0.0	0.0	70.1158
SPOM_SPCC1795.02C	0.0	0.0	0.0	0.0
SPOM_SPCC1795.03	0.0	0.0	0.0	26.7055
SPOM_SPCC1795.06	0.0	0.0	0.0	0.0
SPOM_SPCC1795.08C	35.2817	0.0	0.0	14.2444
SPOM_SPCC1322.14C	0.0	0.0	0.0	0.0
SPOM_SPCC1795.09	0.0	0.0	0.0	14.0622
SPOM_SPCC1795.10C	114.247	0.0	0.0	46.1254
SPOM_SPCPB16A4.05C	42.4888	0.0	0.0	85.7711
SPOM_SPCPB16A4.03C	0.0	0.0	583.146	54.2225
SPOM_SPCC24B10.22	23.3784	0.0	0.0	9.43866
SPOM_SPCC24B10.20	0.0	0.0	0.0	0.0
SPOM_SPCC24B10.19C	59.4844	0.0	0.0	0.0
SPOM_SPCC24B10.17	307.15	195.329	0.0	248.014
SPOM_SPCC4B3.06C	0.0	0.0	0.0	0.0
SPOM_SPCC24B10.16C	0.0	0.0	0.0	0.0
SPOM_SPCC24B10.11C	145.092	0.0	0.0	0.0
SPOM_SPCC24B10.08C	47.3939	0.0	0.0	0.0
SPOM_SPCC24B10.07	0.0	0.0	0.0	0.0
SPOM_SPCC24B10.06	0.0	0.0	0.0	25.391
SPOM_SPCC16A11.15C	186.165	0.0	0.0	0.0
SPOM_SPCC16A11.11	0.0	249.1	0.0	0.0
SPOM_SPCC16A11.09C	351.069	0.0	0.0	47.2462
SPOM_SPCC16A11.08	0.0	0.0	0.0	0.0
SPOM_SPCC16A11.07	0.0	0.0	0.0	0.0
SPOM_SPCC16A11.06C	32.0816	0.0	0.0	0.0
SPOM_SPCC16A11.03C	162.722	0.0	0.0	32.8483
SPOM_SPCC63.14	28.8713	0.0	0.0	0.0
SPOM_SPCC63.13	0.0	0.0	0.0	0.0
SPOM_SPCC63.12C	0.0	134.85	460.361	14.2685
SPOM_SPCC63.03	0.0	200.633	0.0	0.0
SPOM_SPCC63.02C	0.0	69.7888	0.0	14.7688
SPOM_SPCC1393.13	0.0	0.0	0.0	18.682
SPOM_SPCC1393.12	325.233	155.121	0.0	0.0
SPOM_SPCC1393.11	139.334	0.0	0.0	0.0
SPOM_SPCC1393.14	0.0	0.0	0.0	0.0
SPOM_SPCC1393.09C	0.0	0.0	0.0	0.0
SPOM_SPCC1393.06C	80.4204	0.0	0.0	162.343
SPOM_SPCC1393.05	0.0	0.0	0.0	0.0
SPOM_SPCC1020.04C	120.747	0.0	0.0	389.998
SPOM_SPCC737.02C	0.0	387.489	0.0	82.0008
SPOM_SPCC1020.14	0.0	0.0	0.0	0.0
SPOM_SPCC1020.05	53.6251	0.0	0.0	0.0
SPOM_SPCC1020.06C	2643.05	504.247	0.0	133.386
SPOM_SPCC1020.11C	135.514	0.0	1765.21	109.423
SPOM_SPCC1020.13C	0.0	98.1459	0.0	0.0
SPOM_SPCC14G10.02	0.0	0.0	0.0	0.0
SPOM_SPCC14G10.01	0.0	0.0	0.0	0.0
SPOM_SPCC63.04	293.279	765.664	0.0	6.23194
SPOM_SPCC18B5.10C	0.0	0.0	0.0	0.0
SPOM_SPCC18B5.06	0.0	0.0	0.0	120.845
SPOM_SPCC18B5.03	0.0	0.0	0.0	0.0
SPOM_SPCC162.07	61.3948	58.5651	0.0	24.7872
SPOM_SPCC18B5.01C	28.0164	71.267	0.0	0.0
SPOM_SPCPJ732.03	3007.34	5215.88	0.0	0.0
SPOM_SPCPJ732.02C	81.2203	154.954	0.0	21.861
SPOM_SPCPJ732.01	0.0	0.0	0.0	0.0
SPOM_SPCC16C4.18C	0.0	0.0	535.651	16.6021
SPOM_SPCC16C4.16C	0.0	0.0	0.0	0.0
SPOM_SPCC16C4.15	137.071	130.754	0.0	193.691
SPOM_SPCC1259.14C	14.4632	39.5412	177.803	350.626
SPOM_SPCC16C4.14C	0.0	0.0	0.0	0.0
SPOM_SPCC1259.06	114.981	0.0	0.0	0.0
SPOM_SPCC16C4.13C	135.295	91.5104	0.0	56.0384
SPOM_SPCC16C4.10	162.335	0.0	0.0	21.8468
SPOM_SPCC417.11C	198.124	0.0	860.263	79.9897
SPOM_SPCC16C4.22	266.982	509.354	0.0	0.0
SPOM_SPCC16C4.09	0.0	0.0	0.0	17.9682
SPOM_SPCC16C4.08C	17.9262	0.0	0.0	7.23743
SPOM_SPCC16C4.07	0.0	0.0	0.0	0.0
SPOM_SPCC16C4.05	0.0	0.0	0.0	598.975
SPOM_SPCC16C4.06C	0.0	0.0	0.0	40.2176
SPOM_SPCC16C4.03	0.0	843.007	0.0	0.0
SPOM_SPCC16C4.20C	0.0	0.0	0.0	0.0
SPOM_SPCC16C4.01	95.2202	0.0	0.0	115.331
SPOM_SPCC16C4.19	0.0	124.226	0.0	26.2889
SPOM_SPCC1620.06C	0.0	0.0	0.0	112.03
SPOM_SPCC5E4.06	17.1597	0.0	0.0	6.92798
SPOM_SPCC5E4.05C	0.0	0.0	0.0	26.5651
SPOM_SPCC31H12.08C	0.0	98.4695	0.0	120.11
SPOM_SPCC31H12.03C	89.0573	169.905	1160.07	71.911
SPOM_SPCC31H12.02C	58.1852	333.021	0.0	0.0
SPOM_SPCC1183.11	20.6284	39.3554	0.0	8.32841
SPOM_SPCC1183.10	0.0	0.0	0.0	0.0
SPOM_SPCC1183.09C	132.153	0.0	0.0	0.0
SPOM_SPCC1183.08C	721.995	1180.66	2687.08	1041.05
SPOM_SPCC16A11.16C	0.0	142.364	0.0	15.0636
SPOM_SPCC1183.07	0.0	0.0	0.0	6.44897
SPOM_SPCC1442.07C	0.0	0.0	0.0	0.0
SPOM_SPCC1450.11C	18.9117	0.0	0.0	7.63532
SPOM_SPCC1183.06	0.0	890.539	0.0	47.1141
SPOM_SPCC1183.05C	0.0	0.0	0.0	0.0
SPOM_SPCC1183.02	498.863	0.0	0.0	402.816
SPOM_SPCC1672.12C	80.4721	0.0	1048.24	0.0
SPOM_SPCC1672.11C	0.0	0.0	0.0	0.0
SPOM_SPCC1672.09	79.8054	76.1272	0.0	16.1101
SPOM_SPCC1672.07	0.0	0.0	0.0	75.7015
SPOM_SPCC1672.03C	0.0	0.0	843.796	0.0
SPOM_SPCC962.05	78.3081	0.0	0.0	0.0
SPOM_SPCC962.02C	0.0	0.0	0.0	0.0
SPOM_SPCP31B10.08C	797.545	0.0	0.0	1610.02
SPOM_SPCC10H11.02	0.0	0.0	0.0	62.8774
SPOM_SPCC10H11.01	0.0	41.5167	0.0	89.5015
SPOM_SPCC970.04C	0.0	0.0	0.0	0.0
SPOM_SPCC970.06	0.0	0.0	0.0	66.0781
SPOM_SPCC970.07C	0.0	0.0	0.0	0.0
SPOM_SPCC970.08	0.0	0.0	0.0	0.0
SPOM_SPCC970.10C	0.0	0.0	0.0	65.8034
SPOM_SPCC970.11C	133.791	0.0	0.0	0.0
SPOM_SPCC364.02C	0.0	221.808	0.0	0.0
SPOM_SPCC364.04C	68.3574	0.0	0.0	37.1808
SPOM_SPCC364.07	37.1447	0.0	0.0	89.9795
SPOM_SPCC4G3.03	112.233	0.0	0.0	0.0
SPOM_SPCC4G3.04C	0.0	246.022	0.0	52.0633
SPOM_SPCC4G3.07C	40.0302	76.3705	0.0	0.0
SPOM_SPCC4G3.08	325.868	932.546	0.0	0.0
SPOM_SPCC4G3.10C	55.7252	0.0	0.0	0.0
SPOM_SPCC4G3.11	0.0	0.0	0.0	104.666
SPOM_SPCC4G3.12C	0.0	0.0	0.0	0.0
SPOM_SPCC4G3.20	244.083	1139.4	0.0	0.0
SPOM_SPCC18.15	0.0	0.0	0.0	0.0
SPOM_SPCC13B11.03C	0.0	345.712	0.0	0.0
SPOM_SPCC4G3.13C	52.3911	255.198	0.0	0.0
SPOM_SPCC4G3.15C	59.0357	112.629	0.0	23.8347
SPOM_SPCC4G3.16	0.0	0.0	0.0	0.0
SPOM_SPCC4G3.19	20.3237	155.096	0.0	16.4108
SPOM_SPCC306.11	233.9	0.0	0.0	0.0
SPOM_SPCC306.08C	105.002	0.0	0.0	0.0
SPOM_SPCC306.07C	743.113	0.0	0.0	350.024
SPOM_SPCC306.03C	0.0	0.0	0.0	20.319
SPOM_SPCC1682.16	0.0	102.88	0.0	87.0861
SPOM_SPCC1682.14	477.463	455.457	0.0	599.87
SPOM_SPCC132.01C	40.3788	0.0	0.0	48.9069
SPOM_SPCC1682.12C	0.0	0.0	0.0	32.2613
SPOM_SPCC1682.11C	244.825	155.694	0.0	0.0
SPOM_SPCC663.04	1332.08	28007.8	0.0	43649.0
SPOM_SPCC1682.10	94.6445	0.0	0.0	152.845
SPOM_SPCC1682.09C	0.0	0.0	0.0	0.0
SPOM_SPCC1682.07	86.3036	0.0	0.0	27.8839
SPOM_SPCC18.05C	0.0	0.0	0.0	16.9529
SPOM_SPCC1682.03C	0.0	77.2347	0.0	16.3445
SPOM_SPCC1682.02C	0.0	0.0	242.356	37.5583
SPOM_SPCC1682.01	0.0	676.734	0.0	143.211
SPOM_SPCC594.06C	111.006	0.0	0.0	0.0
SPOM_SPCC594.05C	0.0	0.0	0.0	0.0
SPOM_SPCC594.04C	324.39	0.0	0.0	0.0
SPOM_SPCC594.03	244.56	0.0	0.0	0.0
SPOM_SPCC594.02C	0.0	0.0	248.713	23.126
SPOM_SPCC736.15	0.0	0.0	281.605	69.8252
SPOM_SPCC736.13	65.5231	125.006	0.0	0.0
SPOM_SPCC736.11	0.0	0.0	0.0	0.0
SPOM_SPCC736.09C	0.0	278.748	0.0	0.0
SPOM_SPCC736.07C	0.0	0.0	0.0	45.5027
SPOM_SPCC736.06	0.0	0.0	0.0	0.0
SPOM_SPCC736.05	123.283	156.801	0.0	0.0
SPOM_SPCC736.04C	40.7732	0.0	0.0	0.0
SPOM_SPCC736.02	0.0	0.0	0.0	191.008
SPOM_SPCC553.01C	0.0	0.0	0.0	0.0
SPOM_SPCC553.08C	19.8438	0.0	0.0	16.0233
SPOM_SPCC4G3.14	0.0	0.0	0.0	0.0
SPOM_SPCC553.09C	0.0	0.0	0.0	12.5163
SPOM_SPCC553.12C	0.0	0.0	0.0	18.6613
SPOM_SPCC1183.04C	32.1475	0.0	0.0	0.0
SPOM_SPCC794.15	5163.49	0.0	0.0	4169.36
SPOM_SPCC794.11C	0.0	63.1475	0.0	0.0
SPOM_SPCC16C4.04	0.0	0.0	0.0	0.0
SPOM_SPCC794.10	70.6629	0.0	0.0	0.0
SPOM_SPCC794.09C	0.0	0.0	553.659	97.2353
SPOM_SPCC794.07	57.5171	109.732	0.0	0.0
SPOM_SPCC794.06	0.0	0.0	0.0	0.0
SPOM_SPCC794.16	0.0	0.0	0.0	0.0
SPOM_SPCC794.04C	33.1431	126.462	0.0	0.0
SPOM_SPCC1529.01	73.4181	0.0	0.0	0.0
SPOM_SPCC1450.09C	0.0	0.0	0.0	0.0
SPOM_SPCC548.06C	20.4632	0.0	0.0	33.0469
SPOM_SPCC548.05C	0.0	0.0	0.0	20.9418
SPOM_SPCC1235.14	69.0268	138.212	0.0	0.0
