Name	P6_1_quant
NEUTE1DRAFT_33641	33.7716
NEUTE1DRAFT_72822	279.578
NEUTE1DRAFT_105777	0
NEUTE1DRAFT_126249	21.0841
NEUTE1DRAFT_126248	168.104
NEUTE1DRAFT_91498	41.7099
NEUTE1DRAFT_54700	5.10769
NEUTE1DRAFT_142652	34.385
NEUTE1DRAFT_72792	78.1566
NEUTE1DRAFT_150265	26.4662
NEUTE1DRAFT_72781	38.057
NEUTE1DRAFT_118929	70.4472
NEUTE1DRAFT_150259	14.9583
NEUTE1DRAFT_91464	24.1194
NEUTE1DRAFT_91460	95.447
NEUTE1DRAFT_126230	9.11537
NEUTE1DRAFT_114693	1.29512
NEUTE1DRAFT_119169	193.326
NEUTE1DRAFT_118923	0.786209
NEUTE1DRAFT_72750	111.868
NEUTE1DRAFT_72749	61.5495
NEUTE1DRAFT_91442	5.36315
NEUTE1DRAFT_150461	5.2518
NEUTE1DRAFT_91440	2.38094
NEUTE1DRAFT_54658	0
NEUTE1DRAFT_54802	22.523
NEUTE1DRAFT_73350	529.743
NEUTE1DRAFT_54937	0
NEUTE1DRAFT_54470	98.6635
NEUTE1DRAFT_126214	14.2668
NEUTE1DRAFT_143009	5942.19
NEUTE1DRAFT_150239	16.5237
NEUTE1DRAFT_91415	2.88325
NEUTE1DRAFT_114832	0
NEUTE1DRAFT_91412	11.8471
NEUTE1DRAFT_118916	57.3661
NEUTE1DRAFT_91407	31.5218
NEUTE1DRAFT_51953	17.4268
NEUTE1DRAFT_72703	88.7012
NEUTE1DRAFT_91395	68.353
NEUTE1DRAFT_51242	13.302
NEUTE1DRAFT_106136	0
NEUTE1DRAFT_133332	136.898
NEUTE1DRAFT_91382	24.1828
NEUTE1DRAFT_93022	233.131
NEUTE1DRAFT_72682	29.6126
NEUTE1DRAFT_126191	62.6887
NEUTE1DRAFT_150219	462.243
NEUTE1DRAFT_91362	48.1561
NEUTE1DRAFT_96826	5.36716
NEUTE1DRAFT_126188	98.6457
NEUTE1DRAFT_142594	0
NEUTE1DRAFT_150216	45.6274
NEUTE1DRAFT_91358	126.971
NEUTE1DRAFT_51840	12.4298
NEUTE1DRAFT_133316	14.8612
NEUTE1DRAFT_126180	39.1507
NEUTE1DRAFT_105693	324.09
NEUTE1DRAFT_72641	20.441
NEUTE1DRAFT_118897	503.655
NEUTE1DRAFT_105689	0.680353
NEUTE1DRAFT_91324	41.8736
NEUTE1DRAFT_91322	134.388
NEUTE1DRAFT_150197	22.4035
NEUTE1DRAFT_91296	103.935
NEUTE1DRAFT_91293	92.5687
NEUTE1DRAFT_150191	39.37
NEUTE1DRAFT_142565	84.0007
NEUTE1DRAFT_91283	29.3304
NEUTE1DRAFT_118888	190.209
NEUTE1DRAFT_126155	203.366
NEUTE1DRAFT_150185	144.78
NEUTE1DRAFT_91270	26.1505
NEUTE1DRAFT_126151	15.0072
NEUTE1DRAFT_51051	41.8925
NEUTE1DRAFT_150176	44.6991
NEUTE1DRAFT_118883	5.24984
NEUTE1DRAFT_133281	66.8889
NEUTE1DRAFT_150173	14.6052
NEUTE1DRAFT_105653	0
NEUTE1DRAFT_142612	12.5952
NEUTE1DRAFT_150172	58.6897
NEUTE1DRAFT_91241	27.0168
NEUTE1DRAFT_91240	36.3183
NEUTE1DRAFT_53805	111.807
NEUTE1DRAFT_105642	391.497
NEUTE1DRAFT_105978	4.57957
NEUTE1DRAFT_118878	128.403
NEUTE1DRAFT_72515	188.03
NEUTE1DRAFT_55714	15.1694
NEUTE1DRAFT_105632	16.9309
NEUTE1DRAFT_105631	1.89096
NEUTE1DRAFT_72504	871.797
NEUTE1DRAFT_126121	18.143
NEUTE1DRAFT_114584	0.573378
NEUTE1DRAFT_91189	33.4932
NEUTE1DRAFT_126117	8.33029
NEUTE1DRAFT_150148	42.4709
NEUTE1DRAFT_53227	3.08469
NEUTE1DRAFT_133256	128.535
NEUTE1DRAFT_126114	11.0222
NEUTE1DRAFT_150780	53.0466
NEUTE1DRAFT_118870	50.5967
NEUTE1DRAFT_91169	101.865
NEUTE1DRAFT_142507	2.31424
NEUTE1DRAFT_72462	10.9091
NEUTE1DRAFT_126102	10.1608
NEUTE1DRAFT_142501	13.7977
NEUTE1DRAFT_51557	6.84794
NEUTE1DRAFT_150134	14.8413
NEUTE1DRAFT_91141	113.402
NEUTE1DRAFT_115535	41.953
NEUTE1DRAFT_52411	77.2166
NEUTE1DRAFT_72443	31.1318
NEUTE1DRAFT_72434	24.9447
NEUTE1DRAFT_91126	148.536
NEUTE1DRAFT_96785	201.854
NEUTE1DRAFT_142490	107.881
NEUTE1DRAFT_133234	18.1299
NEUTE1DRAFT_126086	45.8868
NEUTE1DRAFT_72406	48.6528
NEUTE1DRAFT_118860	5.53907
NEUTE1DRAFT_105586	0.373325
NEUTE1DRAFT_91094	5.38661
NEUTE1DRAFT_55109	0
NEUTE1DRAFT_150113	29.125
NEUTE1DRAFT_150106	217.84
NEUTE1DRAFT_72366	74.6544
NEUTE1DRAFT_126496	34.3417
NEUTE1DRAFT_72364	11.5098
NEUTE1DRAFT_91054	61.669
NEUTE1DRAFT_119230	0.915483
NEUTE1DRAFT_91049	31.6745
NEUTE1DRAFT_53953	44.7059
NEUTE1DRAFT_72352	26.3595
NEUTE1DRAFT_72346	13.0295
NEUTE1DRAFT_126059	33.8106
NEUTE1DRAFT_126058	8.07185
NEUTE1DRAFT_126056	17.5553
NEUTE1DRAFT_91023	38.6007
NEUTE1DRAFT_91019	36.0881
NEUTE1DRAFT_118842	35.3912
NEUTE1DRAFT_73314	8.24115
NEUTE1DRAFT_105554	65.9728
NEUTE1DRAFT_126050	84.4207
NEUTE1DRAFT_72317	15.3661
NEUTE1DRAFT_118840	1.50572
NEUTE1DRAFT_133197	59.4994
NEUTE1DRAFT_126043	117.986
NEUTE1DRAFT_55267	0
NEUTE1DRAFT_114511	0
NEUTE1DRAFT_72302	33.5546
NEUTE1DRAFT_133193	58.9701
NEUTE1DRAFT_126708	14.3579
NEUTE1DRAFT_72299	66.7299
NEUTE1DRAFT_90987	161.126
NEUTE1DRAFT_150077	79.6994
NEUTE1DRAFT_133187	40.0592
NEUTE1DRAFT_72282	19.2768
NEUTE1DRAFT_150072	7.65811
NEUTE1DRAFT_90967	60.1343
NEUTE1DRAFT_118828	40.004
NEUTE1DRAFT_90955	28.9215
NEUTE1DRAFT_72255	28.5153
NEUTE1DRAFT_142420	0.683118
